date	open	high	low	close	volume	symbol
2023-09-11	15.40999984741211	16.100000381469727	15.359999656677246	15.789999961853027	55294700	PLTR
2023-09-12	15.460000038146973	16.149999618530273	15.43000030517578	15.59000015258789	39497900	PLTR
2023-09-13	15.630000114440918	15.850000381469728	15.420000076293944	15.600000381469728	34354400	PLTR
2023-09-14	15.6899995803833	16.040000915527344	15.470000267028809	15.829999923706056	38572500	PLTR
2023-09-15	15.770000457763672	15.899999618530272	15.170000076293944	15.329999923706056	56161900	PLTR
2023-09-18	15.18000030517578	15.630000114440918	15.06999969482422	15.460000038146973	37404100	PLTR
2023-09-19	15.34000015258789	15.519000053405762	14.949999809265137	15.149999618530272	37804800	PLTR
2023-09-20	15.25	15.425000190734863	14.732999801635742	14.739999771118164	37640500	PLTR
2023-09-21	14.34000015258789	14.598999977111816	13.68000030517578	14.0	72831500	PLTR
2023-09-22	14.229999542236328	14.414999961853027	14.029999732971191	14.130000114440918	47714500	PLTR
2023-09-25	14.0	14.239999771118164	13.81999969482422	14.220000267028809	39693900	PLTR
2023-09-26	13.949999809265137	14.170000076293944	13.880000114440918	13.960000038146973	37276200	PLTR
2023-09-27	14.199999809265137	14.960000038146973	14.15999984741211	14.850000381469728	62780600	PLTR
2023-09-28	15.140000343322754	15.960000038146973	14.824999809265137	15.770000457763672	66590800	PLTR
2023-09-29	16.110000610351562	16.809999465942383	15.960000038146973	16.0	77919600	PLTR
2023-10-02	16.030000686645508	16.440000534057617	15.770000457763672	15.880000114440918	41043900	PLTR
2023-10-03	15.609999656677246	15.770000457763672	14.81999969482422	14.899999618530272	51578100	PLTR
2023-10-04	15.460000038146973	15.850000381469728	15.15999984741211	15.729999542236328	52786200	PLTR
2023-10-05	15.5600004196167	15.899999618530272	15.40999984741211	15.8100004196167	49648100	PLTR
2023-10-06	15.5600004196167	16.69499969482422	15.510000228881836	16.610000610351562	65511400	PLTR
2023-10-09	16.25	17.829999923706055	16.219999313354492	17.610000610351562	106161200	PLTR
2023-10-10	18.059999465942383	18.399999618530273	17.6200008392334	17.799999237060547	99971500	PLTR
2023-10-11	17.8700008392334	18.440000534057617	17.729999542236328	17.920000076293945	55745600	PLTR
2023-10-12	17.920000076293945	18.239999771118164	17.551000595092773	17.940000534057617	57940900	PLTR
2023-10-13	18.059999465942383	18.15999984741211	17.270000457763672	17.360000610351562	54541600	PLTR
2023-10-16	17.209999084472656	17.459999084472656	16.670000076293945	17.360000610351562	44987300	PLTR
2023-10-17	17.0	18.030000686645508	16.90999984741211	17.84000015258789	54401300	PLTR
2023-10-18	17.809999465942383	18.219999313354492	17.190000534057617	17.200000762939453	44208300	PLTR
2023-10-19	17.440000534057617	17.579999923706055	16.969999313354492	17.059999465942383	46303200	PLTR
2023-10-20	16.850000381469727	16.940000534057617	15.8100004196167	16.110000610351562	63738300	PLTR
2023-10-23	15.899999618530272	16.34000015258789	15.210000038146973	16.200000762939453	55967200	PLTR
2023-10-24	16.3799991607666	16.93000030517578	16.299999237060547	16.639999389648438	39833800	PLTR
2023-10-25	16.56999969482422	16.6299991607666	15.579999923706056	15.59000015258789	46706500	PLTR
2023-10-26	15.600000381469728	15.90999984741211	15.050000190734863	15.289999961853027	49351800	PLTR
2023-10-27	15.479999542236328	15.600000381469728	14.960000038146973	15.06999969482422	39913600	PLTR
2023-10-30	15.270000457763672	15.289999961853027	14.5600004196167	14.6899995803833	46886400	PLTR
2023-10-31	14.579999923706056	15.010000228881836	14.550000190734863	14.800000190734863	40195400	PLTR
2023-11-01	14.800000190734863	14.960000038146973	14.479999542236328	14.920000076293944	54419100	PLTR
2023-11-02	17.479999542236328	18.299999237060547	17.209999084472656	17.969999313354492	170406800	PLTR
2023-11-03	18.020000457763672	19.07900047302246	17.760000228881836	18.88999938964844	109039500	PLTR
2023-11-06	18.989999771118164	19.079999923706055	17.93000030517578	18.540000915527344	79952600	PLTR
2023-11-07	18.86000061035156	19.170000076293945	18.530000686645508	18.799999237060547	56289100	PLTR
2023-11-08	18.850000381469727	18.93000030517578	18.149999618530273	18.489999771118164	46063100	PLTR
2023-11-09	18.65999984741211	18.8700008392334	18.15999984741211	18.270000457763672	48454200	PLTR
2023-11-10	18.155000686645508	19.719999313354492	18.059999465942383	19.670000076293945	92748000	PLTR
2023-11-13	19.59000015258789	19.8799991607666	19.299999237060547	19.709999084472656	74877500	PLTR
2023-11-14	20.0	20.100000381469727	19.5	19.940000534057617	83230500	PLTR
